target,tier,method,brier,brier_skill,ece,mce,n_positive,n_total
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,raw,0.16327,0.33229,0.04158,0.08924,2318,5442
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,platt,0.15825,0.35279,0.01991,0.03159,1159,2721
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,isotonic,0.15907,0.34946,0.02582,0.04963,1159,2721
lvef_lte_45_flag,cnn_ecg_and_demographics,raw,0.13582,0.06668,0.18703,0.34729,962,5442
lvef_lte_45_flag,cnn_ecg_and_demographics,platt,0.08513,0.41498,0.01227,0.02466,481,2721
lvef_lte_45_flag,cnn_ecg_and_demographics,isotonic,0.08597,0.40921,0.01391,0.04148,481,2721
lvwt_gte_13_flag,cnn_ecg_and_demographics,raw,0.19232,-0.22532,0.22081,0.32796,1061,5442
lvwt_gte_13_flag,cnn_ecg_and_demographics,platt,0.13613,0.13203,0.0138,0.03186,530,2721
lvwt_gte_13_flag,cnn_ecg_and_demographics,isotonic,0.13669,0.12848,0.01227,0.02588,530,2721
aortic_stenosis_moderate_or_greater_flag,cnn_ecg_and_demographics,raw,0.17003,-2.41474,0.27177,0.63294,286,5442
aortic_stenosis_moderate_or_greater_flag,cnn_ecg_and_demographics,platt,0.03895,0.21768,0.00741,0.02146,143,2721
aortic_stenosis_moderate_or_greater_flag,cnn_ecg_and_demographics,isotonic,0.03885,0.21979,0.01021,0.04211,143,2721
aortic_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,raw,0.13875,-10.5811,0.24966,0.74555,66,5442
aortic_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,platt,0.01177,0.01776,0.00487,0.01525,33,2721
aortic_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,isotonic,0.0118,0.01546,0.00504,0.00957,33,2721
mitral_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,raw,0.16634,-1.86347,0.27351,0.57389,337,5442
mitral_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,platt,0.05117,0.11664,0.00955,0.02167,168,2721
mitral_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,isotonic,0.05139,0.11296,0.00473,0.01775,168,2721
tricuspid_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,raw,0.14658,-1.41647,0.25453,0.53561,353,5442
tricuspid_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,platt,0.05138,0.15072,0.00741,0.02378,176,2721
tricuspid_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,isotonic,0.05237,0.13436,0.00852,0.0247,176,2721
pulmonary_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,raw,0.05681,-14.51422,0.10009,0.6686,20,5442
pulmonary_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,platt,,,,,10,2721
pulmonary_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,isotonic,,,,,10,2721
rv_systolic_dysfunction_moderate_or_greater_flag,cnn_ecg_and_demographics,raw,0.13096,-0.84273,0.2262,0.47526,419,5442
rv_systolic_dysfunction_moderate_or_greater_flag,cnn_ecg_and_demographics,platt,0.05176,0.27326,0.00945,0.03746,210,2721
rv_systolic_dysfunction_moderate_or_greater_flag,cnn_ecg_and_demographics,isotonic,0.05285,0.25799,0.0069,0.02543,210,2721
pericardial_effusion_moderate_large_flag,cnn_ecg_and_demographics,raw,0.13912,-10.11358,0.30595,0.67157,69,5442
pericardial_effusion_moderate_large_flag,cnn_ecg_and_demographics,platt,0.01214,0.01575,0.00489,0.01061,34,2721
pericardial_effusion_moderate_large_flag,cnn_ecg_and_demographics,isotonic,0.01235,-0.00102,0.00573,0.0146,34,2721
pasp_gte_45_flag,cnn_ecg_and_demographics,raw,0.16042,-0.43297,0.22193,0.41767,699,5442
pasp_gte_45_flag,cnn_ecg_and_demographics,platt,0.0938,0.16111,0.01388,0.03384,349,2721
pasp_gte_45_flag,cnn_ecg_and_demographics,isotonic,0.0942,0.15747,0.00913,0.04904,349,2721
tr_max_gte_32_flag,cnn_ecg_and_demographics,raw,0.164,-1.55614,0.26041,0.58103,375,5442
tr_max_gte_32_flag,cnn_ecg_and_demographics,platt,0.05857,0.0849,0.011,0.03395,187,2721
tr_max_gte_32_flag,cnn_ecg_and_demographics,isotonic,0.05894,0.07909,0.00846,0.01899,187,2721
shd_moderate_or_greater_flag,cnn_raw_waveform,raw,0.16479,0.32606,0.00942,0.03145,2318,5442
shd_moderate_or_greater_flag,cnn_raw_waveform,platt,0.16365,0.33071,0.02122,0.04819,1159,2721
shd_moderate_or_greater_flag,cnn_raw_waveform,isotonic,0.16583,0.32182,0.03173,0.08711,1159,2721
lvef_lte_45_flag,cnn_raw_waveform,raw,0.11708,0.19545,0.14002,0.24134,962,5442
lvef_lte_45_flag,cnn_raw_waveform,platt,0.08723,0.40055,0.01667,0.02973,481,2721
lvef_lte_45_flag,cnn_raw_waveform,isotonic,0.08802,0.39515,0.0166,0.0715,481,2721
lvwt_gte_13_flag,cnn_raw_waveform,raw,0.19165,-0.22104,0.22124,0.31047,1061,5442
lvwt_gte_13_flag,cnn_raw_waveform,platt,0.13917,0.11269,0.02001,0.0483,530,2721
lvwt_gte_13_flag,cnn_raw_waveform,isotonic,0.13981,0.10861,0.01528,0.05847,530,2721
aortic_stenosis_moderate_or_greater_flag,cnn_raw_waveform,raw,0.15702,-2.15348,0.28005,0.55684,286,5442
aortic_stenosis_moderate_or_greater_flag,cnn_raw_waveform,platt,0.04551,0.08606,0.01188,0.03789,143,2721
aortic_stenosis_moderate_or_greater_flag,cnn_raw_waveform,isotonic,0.04715,0.05305,0.0143,0.06739,143,2721
aortic_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,raw,0.12345,-9.30405,0.2334,0.68909,66,5442
aortic_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,platt,0.01186,0.01013,0.00613,0.01808,33,2721
aortic_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,isotonic,0.01185,0.01071,0.00468,0.01388,33,2721
mitral_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,raw,0.13891,-1.39123,0.23649,0.51745,337,5442
mitral_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,platt,0.05131,0.11434,0.01308,0.03172,168,2721
mitral_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,isotonic,0.05182,0.10552,0.00995,0.03166,168,2721
tricuspid_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,raw,0.14156,-1.33365,0.2478,0.51859,353,5442
tricuspid_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,platt,0.05262,0.13024,0.00791,0.01893,176,2721
tricuspid_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,isotonic,0.05234,0.1348,0.0072,0.02072,176,2721
pulmonary_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,raw,0.07488,-19.44885,0.12643,0.7493,20,5442
pulmonary_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,platt,,,,,10,2721
pulmonary_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,isotonic,,,,,10,2721
rv_systolic_dysfunction_moderate_or_greater_flag,cnn_raw_waveform,raw,0.12489,-0.75736,0.2161,0.46523,419,5442
rv_systolic_dysfunction_moderate_or_greater_flag,cnn_raw_waveform,platt,0.05109,0.28261,0.00983,0.04664,210,2721
rv_systolic_dysfunction_moderate_or_greater_flag,cnn_raw_waveform,isotonic,0.05269,0.26014,0.0113,0.03235,210,2721
pericardial_effusion_moderate_large_flag,cnn_raw_waveform,raw,0.15177,-11.1235,0.31761,0.70954,69,5442
pericardial_effusion_moderate_large_flag,cnn_raw_waveform,platt,0.01237,-0.00246,0.00444,0.01242,34,2721
pericardial_effusion_moderate_large_flag,cnn_raw_waveform,isotonic,0.0124,-0.00522,0.00306,0.01202,34,2721
pasp_gte_45_flag,cnn_raw_waveform,raw,0.15751,-0.40702,0.2093,0.40572,699,5442
pasp_gte_45_flag,cnn_raw_waveform,platt,0.09642,0.13764,0.01454,0.05121,349,2721
pasp_gte_45_flag,cnn_raw_waveform,isotonic,0.09715,0.13114,0.01244,0.03407,349,2721
tr_max_gte_32_flag,cnn_raw_waveform,raw,0.15695,-1.44629,0.25612,0.52927,375,5442
tr_max_gte_32_flag,cnn_raw_waveform,platt,0.05935,0.07272,0.01339,0.03165,187,2721
tr_max_gte_32_flag,cnn_raw_waveform,isotonic,0.05957,0.0692,0.00813,0.02122,187,2721
shd_moderate_or_greater_flag,cnn_raw_waveform_v2,raw,0.16503,0.32506,0.01274,0.03746,2318,5442
shd_moderate_or_greater_flag,cnn_raw_waveform_v2,platt,0.16245,0.33564,0.01991,0.05437,1159,2721
shd_moderate_or_greater_flag,cnn_raw_waveform_v2,isotonic,0.16349,0.33138,0.02839,0.05169,1159,2721
lvef_lte_45_flag,cnn_raw_waveform_v2,raw,0.12386,0.14885,0.1509,0.27976,962,5442
lvef_lte_45_flag,cnn_raw_waveform_v2,platt,0.0922,0.36646,0.02004,0.0768,481,2721
lvef_lte_45_flag,cnn_raw_waveform_v2,isotonic,0.09229,0.3658,0.01216,0.06395,481,2721
lvwt_gte_13_flag,cnn_raw_waveform_v2,raw,0.18354,-0.16937,0.20114,0.30669,1061,5442
lvwt_gte_13_flag,cnn_raw_waveform_v2,platt,0.1382,0.11888,0.02227,0.03619,530,2721
lvwt_gte_13_flag,cnn_raw_waveform_v2,isotonic,0.13902,0.1136,0.02354,0.05293,530,2721
aortic_stenosis_moderate_or_greater_flag,cnn_raw_waveform_v2,raw,0.17993,-2.61366,0.29485,0.61214,286,5442
aortic_stenosis_moderate_or_greater_flag,cnn_raw_waveform_v2,platt,0.0452,0.09223,0.00658,0.02366,143,2721
aortic_stenosis_moderate_or_greater_flag,cnn_raw_waveform_v2,isotonic,0.04587,0.07882,0.00855,0.03089,143,2721
aortic_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,raw,0.12313,-9.27708,0.21028,0.74814,66,5442
aortic_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,platt,0.01182,0.01369,0.00476,0.01583,33,2721
aortic_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,isotonic,0.0119,0.0065,0.00162,0.00288,33,2721
mitral_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,raw,0.14831,-1.55301,0.24212,0.5732,337,5442
mitral_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,platt,0.0528,0.08849,0.00869,0.02225,168,2721
mitral_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,isotonic,0.0529,0.08689,0.01025,0.02247,168,2721
tricuspid_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,raw,0.11958,-0.97134,0.19793,0.50562,353,5442
tricuspid_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,platt,0.05255,0.13132,0.00917,0.01768,176,2721
tricuspid_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,isotonic,0.05327,0.11956,0.01341,0.03763,176,2721
pulmonary_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,raw,0.02238,-5.11196,0.04302,0.35662,20,5442
pulmonary_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,platt,,,,,10,2721
pulmonary_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,isotonic,,,,,10,2721
rv_systolic_dysfunction_moderate_or_greater_flag,cnn_raw_waveform_v2,raw,0.10168,-0.43084,0.15993,0.40892,419,5442
rv_systolic_dysfunction_moderate_or_greater_flag,cnn_raw_waveform_v2,platt,0.05616,0.21149,0.00612,0.02722,210,2721
rv_systolic_dysfunction_moderate_or_greater_flag,cnn_raw_waveform_v2,isotonic,0.05695,0.20037,0.01092,0.05588,210,2721
pericardial_effusion_moderate_large_flag,cnn_raw_waveform_v2,raw,0.107,-7.54759,0.23624,0.65451,69,5442
pericardial_effusion_moderate_large_flag,cnn_raw_waveform_v2,platt,0.01212,0.01768,0.00232,0.00544,34,2721
pericardial_effusion_moderate_large_flag,cnn_raw_waveform_v2,isotonic,0.01231,0.00266,0.00062,0.0008,34,2721
pasp_gte_45_flag,cnn_raw_waveform_v2,raw,0.15483,-0.38308,0.20585,0.3817,699,5442
pasp_gte_45_flag,cnn_raw_waveform_v2,platt,0.0984,0.11991,0.00851,0.04762,349,2721
pasp_gte_45_flag,cnn_raw_waveform_v2,isotonic,0.09865,0.11771,0.01655,0.06896,349,2721
tr_max_gte_32_flag,cnn_raw_waveform_v2,raw,0.13899,-1.16627,0.21674,0.54932,375,5442
tr_max_gte_32_flag,cnn_raw_waveform_v2,platt,0.05894,0.07916,0.00738,0.0143,187,2721
tr_max_gte_32_flag,cnn_raw_waveform_v2,isotonic,0.05873,0.08244,0.00873,0.0183,187,2721
shd_moderate_or_greater_flag,combined,raw,0.17391,0.28878,0.0478,0.07334,2318,5442
shd_moderate_or_greater_flag,combined,platt,0.17146,0.29879,0.01113,0.03123,1159,2721
shd_moderate_or_greater_flag,combined,isotonic,0.17231,0.2953,0.02408,0.06216,1159,2721
lvef_lte_45_flag,combined,raw,0.1001,0.31212,0.02745,0.04242,962,5442
lvef_lte_45_flag,combined,platt,0.09395,0.35438,0.01863,0.05257,481,2721
