epoch,train_loss,val_mean_auroc,lr
1,1.040684,0.78715,0.001
2,0.973543,0.793875,0.001
3,0.94945,0.806208,0.001
4,0.929245,0.8076,0.001
5,0.918951,0.806992,0.001
6,0.905332,0.810858,0.001
7,0.896318,0.8138,0.001
8,0.876055,0.81425,0.001
9,0.868256,0.816717,0.001
10,0.854799,0.820958,0.001
11,0.840199,0.819275,0.001
12,0.829355,0.822625,0.001
13,0.8113,0.815983,0.001
14,0.798891,0.816008,0.001
15,0.786412,0.822183,0.001
16,0.768541,0.817667,0.001
17,0.750148,0.813325,0.001
18,0.733542,0.814967,0.0005
19,0.679555,0.807417,0.0005
20,0.661036,0.804683,0.0005
