epoch,train_loss,val_mean_auroc,lr
1,1.07244,0.762075,0.001
2,1.022934,0.772517,0.001
3,0.999298,0.782542,0.001
4,0.982733,0.7871,0.001
5,0.9697,0.786675,0.001
6,0.956673,0.796067,0.001
7,0.940819,0.800158,0.001
8,0.931955,0.80115,0.001
9,0.917123,0.8009,0.001
10,0.904566,0.803583,0.001
11,0.890903,0.799892,0.001
12,0.87625,0.797517,0.001
13,0.859925,0.797767,0.001
14,0.841942,0.800167,0.001
15,0.823929,0.798158,0.001
16,0.8028,0.7988,0.0005
17,0.74541,0.797208,0.0005
18,0.719889,0.794708,0.0005
19,0.699632,0.798317,0.0005
20,0.67567,0.795483,0.0005
