epoch,train_loss,val_mean_auroc,lr
1,1.068526,0.761133,0.001
2,1.025806,0.773025,0.001
3,1.004365,0.778692,0.001
4,0.987452,0.78515,0.001
5,0.974738,0.79125,0.001
6,0.960532,0.7883,0.001
7,0.951813,0.789733,0.001
8,0.937723,0.791992,0.001
9,0.928496,0.795292,0.001
10,0.91745,0.79885,0.001
11,0.906901,0.797092,0.001
12,0.896003,0.799883,0.001
13,0.885555,0.801392,0.001
14,0.873132,0.801392,0.001
15,0.862189,0.8009,0.001
16,0.85383,0.8014,0.001
17,0.83972,0.804625,0.001
18,0.82907,0.799292,0.001
19,0.817741,0.803083,0.001
20,0.80513,0.80085,0.001
21,0.796813,0.792408,0.001
22,0.778534,0.789592,0.001
23,0.776511,0.791367,0.0005
24,0.720712,0.797558,0.0005
25,0.705444,0.795183,0.0005
