ablation,target,auroc,delta_auroc,delta_ci_low,delta_ci_high
baseline,shd_moderate_or_greater_flag,0.8355,0.0,0.0,0.0
all_demographics,shd_moderate_or_greater_flag,0.8168,-0.0188,-0.0235,-0.0145
age_at_ecg,shd_moderate_or_greater_flag,0.8207,-0.0148,-0.0187,-0.0114
sex,shd_moderate_or_greater_flag,0.8347,-0.0008,-0.0022,0.0006
race_ethnicity,shd_moderate_or_greater_flag,0.8347,-0.0008,-0.0024,0.0009
location_setting,shd_moderate_or_greater_flag,0.8355,-0.0,-0.0019,0.0022
baseline,lvef_lte_45_flag,0.8878,0.0,0.0,0.0
all_demographics,lvef_lte_45_flag,0.8824,-0.0053,-0.0084,-0.0021
age_at_ecg,lvef_lte_45_flag,0.8874,-0.0004,-0.0017,0.001
sex,lvef_lte_45_flag,0.8869,-0.0009,-0.0024,0.0008
race_ethnicity,lvef_lte_45_flag,0.8867,-0.001,-0.0022,0.0001
location_setting,lvef_lte_45_flag,0.8863,-0.0015,-0.0036,0.0005
baseline,lvwt_gte_13_flag,0.7564,0.0,0.0,0.0
all_demographics,lvwt_gte_13_flag,0.74,-0.0164,-0.0222,-0.0102
age_at_ecg,lvwt_gte_13_flag,0.7474,-0.0089,-0.0128,-0.0054
sex,lvwt_gte_13_flag,0.7516,-0.0048,-0.0085,-0.001
race_ethnicity,lvwt_gte_13_flag,0.7532,-0.0032,-0.0068,0.0005
location_setting,lvwt_gte_13_flag,0.758,0.0016,-0.0008,0.0042
baseline,aortic_stenosis_moderate_or_greater_flag,0.8791,0.0,0.0,0.0
all_demographics,aortic_stenosis_moderate_or_greater_flag,0.7324,-0.1467,-0.1758,-0.1197
age_at_ecg,aortic_stenosis_moderate_or_greater_flag,0.7346,-0.1445,-0.172,-0.1177
sex,aortic_stenosis_moderate_or_greater_flag,0.8797,0.0006,-0.0014,0.0026
race_ethnicity,aortic_stenosis_moderate_or_greater_flag,0.8819,0.0027,-0.0044,0.0101
location_setting,aortic_stenosis_moderate_or_greater_flag,0.8754,-0.0038,-0.008,0.0004
baseline,aortic_regurgitation_moderate_or_greater_flag,0.7952,0.0,0.0,0.0
all_demographics,aortic_regurgitation_moderate_or_greater_flag,0.7704,-0.0249,-0.0468,-0.0033
age_at_ecg,aortic_regurgitation_moderate_or_greater_flag,0.7923,-0.0029,-0.0141,0.0106
sex,aortic_regurgitation_moderate_or_greater_flag,0.7929,-0.0023,-0.0106,0.0067
race_ethnicity,aortic_regurgitation_moderate_or_greater_flag,0.785,-0.0103,-0.0222,0.0017
location_setting,aortic_regurgitation_moderate_or_greater_flag,0.7874,-0.0078,-0.0149,-0.0016
baseline,mitral_regurgitation_moderate_or_greater_flag,0.8236,0.0,0.0,0.0
all_demographics,mitral_regurgitation_moderate_or_greater_flag,0.8053,-0.0184,-0.0271,-0.0095
age_at_ecg,mitral_regurgitation_moderate_or_greater_flag,0.8121,-0.0116,-0.0183,-0.0049
sex,mitral_regurgitation_moderate_or_greater_flag,0.8206,-0.0031,-0.0062,0.0002
race_ethnicity,mitral_regurgitation_moderate_or_greater_flag,0.822,-0.0017,-0.004,0.0008
location_setting,mitral_regurgitation_moderate_or_greater_flag,0.8222,-0.0014,-0.0045,0.0022
baseline,tricuspid_regurgitation_moderate_or_greater_flag,0.8574,0.0,0.0,0.0
all_demographics,tricuspid_regurgitation_moderate_or_greater_flag,0.846,-0.0114,-0.0197,-0.0039
age_at_ecg,tricuspid_regurgitation_moderate_or_greater_flag,0.853,-0.0044,-0.0093,0.0005
sex,tricuspid_regurgitation_moderate_or_greater_flag,0.8554,-0.002,-0.0058,0.0017
race_ethnicity,tricuspid_regurgitation_moderate_or_greater_flag,0.8558,-0.0016,-0.0044,0.0015
location_setting,tricuspid_regurgitation_moderate_or_greater_flag,0.855,-0.0024,-0.0047,-0.0001
baseline,pulmonary_regurgitation_moderate_or_greater_flag,0.8363,0.0,0.0,0.0
