target,model,feature_set,auroc,auprc,balanced_acc,prevalence,n_positive,n_total
shd_moderate_or_greater_flag,LogisticRegression,tabular_only,0.7354,0.6767,0.6664,0.5181,39948,77101
shd_moderate_or_greater_flag,RandomForest,tabular_only,0.7369,0.6848,0.6666,0.5181,39948,77101
shd_moderate_or_greater_flag,GradientBoosting,tabular_only,0.7448,0.6956,0.6753,0.5181,39948,77101
shd_moderate_or_greater_flag,LogisticRegression,waveform_only,0.7747,0.7343,0.7039,0.5181,39948,77101
shd_moderate_or_greater_flag,RandomForest,waveform_only,0.7839,0.7471,0.7083,0.5181,39948,77101
shd_moderate_or_greater_flag,GradientBoosting,waveform_only,0.7886,0.7565,0.7122,0.5181,39948,77101
shd_moderate_or_greater_flag,LogisticRegression,combined,0.7939,0.7542,0.7128,0.5181,39948,77101
shd_moderate_or_greater_flag,RandomForest,combined,0.799,0.7619,0.7199,0.5181,39948,77101
shd_moderate_or_greater_flag,GradientBoosting,combined,0.809,0.7751,0.7305,0.5181,39948,77101
lvef_lte_45_flag,LogisticRegression,tabular_only,0.7579,0.4247,0.6864,0.2312,17828,77101
lvef_lte_45_flag,RandomForest,tabular_only,0.7548,0.4321,0.6855,0.2312,17828,77101
lvef_lte_45_flag,GradientBoosting,tabular_only,0.7638,0.4428,0.5889,0.2312,17828,77101
lvef_lte_45_flag,LogisticRegression,waveform_only,0.8328,0.5852,0.7585,0.2312,17828,77101
lvef_lte_45_flag,RandomForest,waveform_only,0.8497,0.622,0.7462,0.2312,17828,77101
lvef_lte_45_flag,GradientBoosting,waveform_only,0.8531,0.6343,0.6998,0.2312,17828,77101
lvef_lte_45_flag,LogisticRegression,combined,0.8415,0.6058,0.7657,0.2312,17828,77101
lvef_lte_45_flag,RandomForest,combined,0.8553,0.638,0.7509,0.2312,17828,77101
lvef_lte_45_flag,GradientBoosting,combined,0.8612,0.6547,0.7137,0.2312,17828,77101
lvwt_gte_13_flag,LogisticRegression,tabular_only,0.6695,0.2962,0.6155,0.2405,18544,77101
lvwt_gte_13_flag,RandomForest,tabular_only,0.6709,0.3067,0.6098,0.2405,18544,77101
lvwt_gte_13_flag,GradientBoosting,tabular_only,0.6871,0.3247,0.5153,0.2405,18544,77101
lvwt_gte_13_flag,LogisticRegression,waveform_only,0.7122,0.3547,0.6531,0.2405,18544,77101
lvwt_gte_13_flag,RandomForest,waveform_only,0.7141,0.3578,0.6131,0.2405,18544,77101
lvwt_gte_13_flag,GradientBoosting,waveform_only,0.7172,0.3625,0.5529,0.2405,18544,77101
lvwt_gte_13_flag,LogisticRegression,combined,0.7307,0.3736,0.665,0.2405,18544,77101
lvwt_gte_13_flag,RandomForest,combined,0.726,0.369,0.6179,0.2405,18544,77101
lvwt_gte_13_flag,GradientBoosting,combined,0.7341,0.382,0.5628,0.2405,18544,77101
aortic_stenosis_moderate_or_greater_flag,LogisticRegression,tabular_only,0.8418,0.2705,0.7629,0.0411,3171,77101
aortic_stenosis_moderate_or_greater_flag,RandomForest,tabular_only,0.8346,0.2392,0.7138,0.0411,3171,77101
aortic_stenosis_moderate_or_greater_flag,GradientBoosting,tabular_only,0.8426,0.253,0.5122,0.0411,3171,77101
aortic_stenosis_moderate_or_greater_flag,LogisticRegression,waveform_only,0.7491,0.154,0.6869,0.0411,3171,77101
aortic_stenosis_moderate_or_greater_flag,RandomForest,waveform_only,0.7442,0.1517,0.5181,0.0411,3171,77101
aortic_stenosis_moderate_or_greater_flag,GradientBoosting,waveform_only,0.7525,0.1384,0.5006,0.0411,3171,77101
aortic_stenosis_moderate_or_greater_flag,LogisticRegression,combined,0.8631,0.3128,0.775,0.0411,3171,77101
aortic_stenosis_moderate_or_greater_flag,RandomForest,combined,0.8429,0.2556,0.5625,0.0411,3171,77101
aortic_stenosis_moderate_or_greater_flag,GradientBoosting,combined,0.8471,0.2894,0.5571,0.0411,3171,77101
aortic_regurgitation_moderate_or_greater_flag,LogisticRegression,tabular_only,0.6655,0.0286,0.6453,0.0122,940,77101
aortic_regurgitation_moderate_or_greater_flag,RandomForest,tabular_only,0.6155,0.021,0.5137,0.0122,940,77101
aortic_regurgitation_moderate_or_greater_flag,GradientBoosting,tabular_only,0.5999,0.0189,0.4997,0.0122,940,77101
aortic_regurgitation_moderate_or_greater_flag,LogisticRegression,waveform_only,0.7094,0.0818,0.6653,0.0122,940,77101
aortic_regurgitation_moderate_or_greater_flag,RandomForest,waveform_only,0.7168,0.0446,0.5,0.0122,940,77101
aortic_regurgitation_moderate_or_greater_flag,GradientBoosting,waveform_only,0.694,0.0417,0.5134,0.0122,940,77101
aortic_regurgitation_moderate_or_greater_flag,LogisticRegression,combined,0.7267,0.0778,0.6737,0.0122,940,77101
aortic_regurgitation_moderate_or_greater_flag,RandomForest,combined,0.7278,0.0439,0.5,0.0122,940,77101
aortic_regurgitation_moderate_or_greater_flag,GradientBoosting,combined,0.7251,0.0358,0.5066,0.0122,940,77101
mitral_regurgitation_moderate_or_greater_flag,LogisticRegression,tabular_only,0.759,0.1754,0.6954,0.0833,6419,77101
mitral_regurgitation_moderate_or_greater_flag,RandomForest,tabular_only,0.7514,0.1826,0.649,0.0833,6419,77101
mitral_regurgitation_moderate_or_greater_flag,GradientBoosting,tabular_only,0.7635,0.1759,0.5046,0.0833,6419,77101
mitral_regurgitation_moderate_or_greater_flag,LogisticRegression,waveform_only,0.7723,0.1821,0.7006,0.0833,6419,77101
mitral_regurgitation_moderate_or_greater_flag,RandomForest,waveform_only,0.78,0.1936,0.5929,0.0833,6419,77101
mitral_regurgitation_moderate_or_greater_flag,GradientBoosting,waveform_only,0.7769,0.1839,0.5122,0.0833,6419,77101
mitral_regurgitation_moderate_or_greater_flag,LogisticRegression,combined,0.8075,0.2275,0.7236,0.0833,6419,77101
mitral_regurgitation_moderate_or_greater_flag,RandomForest,combined,0.801,0.2218,0.5998,0.0833,6419,77101
mitral_regurgitation_moderate_or_greater_flag,GradientBoosting,combined,0.8114,0.2384,0.5255,0.0833,6419,77101
tricuspid_regurgitation_moderate_or_greater_flag,LogisticRegression,tabular_only,0.7308,0.1795,0.6675,0.1039,8012,77101
tricuspid_regurgitation_moderate_or_greater_flag,RandomForest,tabular_only,0.7391,0.1958,0.6578,0.1039,8012,77101
tricuspid_regurgitation_moderate_or_greater_flag,GradientBoosting,tabular_only,0.7556,0.2212,0.5313,0.1039,8012,77101
tricuspid_regurgitation_moderate_or_greater_flag,LogisticRegression,waveform_only,0.7775,0.2285,0.7121,0.1039,8012,77101
tricuspid_regurgitation_moderate_or_greater_flag,RandomForest,waveform_only,0.8019,0.2908,0.6194,0.1039,8012,77101
tricuspid_regurgitation_moderate_or_greater_flag,GradientBoosting,waveform_only,0.7997,0.2692,0.5212,0.1039,8012,77101
tricuspid_regurgitation_moderate_or_greater_flag,LogisticRegression,combined,0.8047,0.261,0.7229,0.1039,8012,77101
tricuspid_regurgitation_moderate_or_greater_flag,RandomForest,combined,0.8257,0.3307,0.6571,0.1039,8012,77101
tricuspid_regurgitation_moderate_or_greater_flag,GradientBoosting,combined,0.8321,0.3007,0.5639,0.1039,8012,77101
pulmonary_regurgitation_moderate_or_greater_flag,LogisticRegression,tabular_only,0.4267,0.004,0.4323,0.0081,624,77101
pulmonary_regurgitation_moderate_or_greater_flag,RandomForest,tabular_only,0.6038,0.0095,0.5215,0.0081,624,77101
pulmonary_regurgitation_moderate_or_greater_flag,GradientBoosting,tabular_only,0.6399,0.0097,0.4995,0.0081,624,77101
pulmonary_regurgitation_moderate_or_greater_flag,LogisticRegression,waveform_only,0.6449,0.0081,0.5658,0.0081,624,77101
pulmonary_regurgitation_moderate_or_greater_flag,RandomForest,waveform_only,0.6189,0.0123,0.5,0.0081,624,77101
pulmonary_regurgitation_moderate_or_greater_flag,GradientBoosting,waveform_only,0.6268,0.008,0.4986,0.0081,624,77101
pulmonary_regurgitation_moderate_or_greater_flag,LogisticRegression,combined,0.633,0.0074,0.5719,0.0081,624,77101
pulmonary_regurgitation_moderate_or_greater_flag,RandomForest,combined,0.6404,0.0169,0.5,0.0081,624,77101
pulmonary_regurgitation_moderate_or_greater_flag,GradientBoosting,combined,0.6499,0.0085,0.4983,0.0081,624,77101
rv_systolic_dysfunction_moderate_or_greater_flag,LogisticRegression,tabular_only,0.7367,0.2172,0.6753,0.1292,9965,77101
rv_systolic_dysfunction_moderate_or_greater_flag,RandomForest,tabular_only,0.7527,0.2268,0.6743,0.1292,9965,77101
rv_systolic_dysfunction_moderate_or_greater_flag,GradientBoosting,tabular_only,0.7658,0.2315,0.5322,0.1292,9965,77101
rv_systolic_dysfunction_moderate_or_greater_flag,LogisticRegression,waveform_only,0.8317,0.3326,0.7426,0.1292,9965,77101
rv_systolic_dysfunction_moderate_or_greater_flag,RandomForest,waveform_only,0.8484,0.3837,0.7027,0.1292,9965,77101
rv_systolic_dysfunction_moderate_or_greater_flag,GradientBoosting,waveform_only,0.8429,0.359,0.5774,0.1292,9965,77101
rv_systolic_dysfunction_moderate_or_greater_flag,LogisticRegression,combined,0.8363,0.352,0.7522,0.1292,9965,77101
rv_systolic_dysfunction_moderate_or_greater_flag,RandomForest,combined,0.8548,0.3978,0.7018,0.1292,9965,77101
rv_systolic_dysfunction_moderate_or_greater_flag,GradientBoosting,combined,0.8563,0.3903,0.5833,0.1292,9965,77101
pericardial_effusion_moderate_large_flag,LogisticRegression,tabular_only,0.6842,0.0216,0.6302,0.0276,2131,77101
pericardial_effusion_moderate_large_flag,RandomForest,tabular_only,0.6212,0.0185,0.51,0.0276,2131,77101
pericardial_effusion_moderate_large_flag,GradientBoosting,tabular_only,0.6494,0.0235,0.4997,0.0276,2131,77101
pericardial_effusion_moderate_large_flag,LogisticRegression,waveform_only,0.708,0.0281,0.6305,0.0276,2131,77101
pericardial_effusion_moderate_large_flag,RandomForest,waveform_only,0.7035,0.025,0.4995,0.0276,2131,77101
pericardial_effusion_moderate_large_flag,GradientBoosting,waveform_only,0.6973,0.0242,0.4993,0.0276,2131,77101
pericardial_effusion_moderate_large_flag,LogisticRegression,combined,0.733,0.0289,0.6681,0.0276,2131,77101
pericardial_effusion_moderate_large_flag,RandomForest,combined,0.7014,0.027,0.4997,0.0276,2131,77101
pericardial_effusion_moderate_large_flag,GradientBoosting,combined,0.6952,0.0255,0.4989,0.0276,2131,77101
pasp_gte_45_flag,LogisticRegression,tabular_only,0.6856,0.2149,0.6294,0.1856,14308,77101
pasp_gte_45_flag,RandomForest,tabular_only,0.6803,0.2306,0.6007,0.1856,14308,77101
pasp_gte_45_flag,GradientBoosting,tabular_only,0.6896,0.2275,0.5104,0.1856,14308,77101
pasp_gte_45_flag,LogisticRegression,waveform_only,0.7056,0.2475,0.6555,0.1856,14308,77101
pasp_gte_45_flag,RandomForest,waveform_only,0.722,0.2883,0.6081,0.1856,14308,77101
pasp_gte_45_flag,GradientBoosting,waveform_only,0.7243,0.2786,0.5212,0.1856,14308,77101
pasp_gte_45_flag,LogisticRegression,combined,0.7364,0.2667,0.6729,0.1856,14308,77101
pasp_gte_45_flag,RandomForest,combined,0.7425,0.3176,0.6211,0.1856,14308,77101
pasp_gte_45_flag,GradientBoosting,combined,0.7516,0.3007,0.5416,0.1856,14308,77101
tr_max_gte_32_flag,LogisticRegression,tabular_only,0.686,0.0989,0.6434,0.1006,7759,77101
