target,feature,group_lead,group_type,importance_mean,importance_std
shd_moderate_or_greater_flag,sex,tabular,sex,0.00249220304862694,0.0006120924104589068
shd_moderate_or_greater_flag,ventricular_rate,tabular,ventricular_rate,0.020784117857878082,0.001126521902835566
shd_moderate_or_greater_flag,atrial_rate,tabular,atrial_rate,3.805064777600009e-05,0.0001661556897745953
shd_moderate_or_greater_flag,pr_interval,tabular,pr_interval,-2.6193181385014696e-05,6.867178908238652e-05
shd_moderate_or_greater_flag,qrs_duration,tabular,qrs_duration,0.00998208035625776,0.0006236443012990797
shd_moderate_or_greater_flag,qt_corrected,tabular,qt_corrected,0.0011910462784331388,0.00023908216567775277
shd_moderate_or_greater_flag,age_at_ecg,tabular,age_at_ecg,0.012784979525853824,0.0014744152529839567
shd_moderate_or_greater_flag,I_mean,I,mean,0.004255877261878349,0.001066883644295947
shd_moderate_or_greater_flag,I_std,I,std,-7.244111300153122e-07,3.992314453118909e-05
shd_moderate_or_greater_flag,I_min,I,min,0.0004198915670918124,0.00027541617553326
shd_moderate_or_greater_flag,I_max,I,max,-1.5670156549019154e-05,2.1080901404237004e-05
shd_moderate_or_greater_flag,I_rms,I,rms,9.43640814085267e-05,2.7940802388842252e-05
shd_moderate_or_greater_flag,I_energy,I,energy,0.0,0.0
shd_moderate_or_greater_flag,I_skewness,I,skewness,0.0003085228875789658,0.00021294697470067848
shd_moderate_or_greater_flag,I_kurtosis,I,kurtosis,0.0005936358575883815,0.00037941594883793273
shd_moderate_or_greater_flag,I_zcr,I,zcr,1.1628704981592186e-05,9.770229620238099e-05
shd_moderate_or_greater_flag,I_lf_power,I,lf_power,0.00035843100174612894,0.0002265465200757737
shd_moderate_or_greater_flag,I_ecg_band_power,I,ecg_band_power,3.080653647591358e-05,6.443238808812642e-05
shd_moderate_or_greater_flag,I_hf_power,I,hf_power,3.248412014547064e-05,0.0001841385910917903
shd_moderate_or_greater_flag,I_total_power,I,total_power,7.659694527260009e-05,0.00018565144522214862
shd_moderate_or_greater_flag,I_dominant_freq,I,dominant_freq,0.000374596808015748,0.0002242585329137913
shd_moderate_or_greater_flag,I_spectral_entropy,I,spectral_entropy,0.0005653075697150012,0.0004364433336895968
shd_moderate_or_greater_flag,II_mean,II,mean,0.00032823449569545636,9.860404024198525e-05
shd_moderate_or_greater_flag,II_std,II,std,3.3208531275441545e-05,6.785457431563692e-05
shd_moderate_or_greater_flag,II_min,II,min,0.00012722947056982293,0.00012095176491842075
shd_moderate_or_greater_flag,II_max,II,max,0.00011582952699762394,0.00017997127742136476
shd_moderate_or_greater_flag,II_rms,II,rms,-2.436309010913629e-05,3.9606382448365315e-05
shd_moderate_or_greater_flag,II_energy,II,energy,-2.8061399562329113e-05,4.2457758787925535e-05
shd_moderate_or_greater_flag,II_skewness,II,skewness,0.0008045920040261389,0.0002335245052325415
shd_moderate_or_greater_flag,II_kurtosis,II,kurtosis,2.8290160971722322e-05,4.209399873856905e-05
shd_moderate_or_greater_flag,II_zcr,II,zcr,-4.498974386391019e-06,0.00014366333890385302
shd_moderate_or_greater_flag,II_lf_power,II,lf_power,-2.154169939232453e-05,5.3848765350659825e-05
shd_moderate_or_greater_flag,II_ecg_band_power,II,ecg_band_power,9.836740607431782e-05,8.467649228096347e-05
shd_moderate_or_greater_flag,II_hf_power,II,hf_power,0.0012014930494657293,0.0005390519984313451
shd_moderate_or_greater_flag,II_total_power,II,total_power,-0.00011533387727717948,6.792551222373013e-05
shd_moderate_or_greater_flag,II_dominant_freq,II,dominant_freq,6.302376831037737e-05,5.6840241631167906e-05
shd_moderate_or_greater_flag,II_spectral_entropy,II,spectral_entropy,6.252811858908913e-06,0.00016334863071140819
shd_moderate_or_greater_flag,III_mean,III,mean,1.6356440777420823e-05,0.00013037156010892924
shd_moderate_or_greater_flag,III_std,III,std,5.269137798245005e-05,2.339998011150514e-05
shd_moderate_or_greater_flag,III_min,III,min,0.0002505318702770154,0.0001658184229688696
shd_moderate_or_greater_flag,III_max,III,max,3.9804485248629005e-05,2.7388652877862042e-05
shd_moderate_or_greater_flag,III_rms,III,rms,0.0,0.0
shd_moderate_or_greater_flag,III_energy,III,energy,4.575228189196423e-07,4.926411757254579e-05
shd_moderate_or_greater_flag,III_skewness,III,skewness,2.9357714215416665e-06,5.545709540730607e-05
shd_moderate_or_greater_flag,III_kurtosis,III,kurtosis,-4.689608894246078e-05,0.00012560780278121056
shd_moderate_or_greater_flag,III_zcr,III,zcr,-1.4450095698581577e-05,0.00030894288341927126
shd_moderate_or_greater_flag,III_lf_power,III,lf_power,1.8110278250094147e-05,6.751422765417709e-05
shd_moderate_or_greater_flag,III_ecg_band_power,III,ecg_band_power,2.794701885746598e-05,5.097205991425849e-05
shd_moderate_or_greater_flag,III_hf_power,III,hf_power,3.088279027863017e-06,5.314846318809323e-05
shd_moderate_or_greater_flag,III_total_power,III,total_power,3.33610388817851e-05,3.373703003233925e-05
