target,tier,model,split,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,balanced_acc,prevalence,n_positive,n_total
shd_moderate_or_greater_flag,demographics,GradientBoostingClassifier,test,0.6958,0.6827,0.7088,0.6083,0.5878,0.6306,0.6382,0.4259,2318,5442
shd_moderate_or_greater_flag,tabular_ecg,GradientBoostingClassifier,test,0.7627,0.7507,0.7759,0.7035,0.6853,0.7243,0.7003,0.4259,2318,5442
shd_moderate_or_greater_flag,waveform_features,GradientBoostingClassifier,test,0.7964,0.7846,0.809,0.7541,0.7378,0.7722,0.7278,0.4259,2318,5442
shd_moderate_or_greater_flag,combined,GradientBoostingClassifier,test,0.8154,0.8043,0.8274,0.7724,0.7552,0.7892,0.7366,0.4259,2318,5442
shd_moderate_or_greater_flag,cnn_raw_waveform,ECGConvNet,test,0.8282,0.8176,0.8393,0.7944,0.7793,0.8094,0.7418,0.4259,2318,5442
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,ECGConvNet,test,0.8355,0.8245,0.8462,0.8064,0.7916,0.8214,0.7529,0.4259,2318,5442
shd_moderate_or_greater_flag,cnn_cosine_schedule,ECGConvNet,test,0.8385,0.8279,0.8489,0.8106,0.7959,0.8258,0.7564,0.4259,2318,5442
shd_moderate_or_greater_flag,cnn_raw_waveform_v2,ECGConvNet,test,0.8263,0.8152,0.8378,0.7965,0.7816,0.8116,0.742,0.4259,2318,5442
lvef_lte_45_flag,demographics,LogisticRegression,test,0.6836,0.665,0.702,0.3006,0.2771,0.3281,0.6312,0.1768,962,5442
lvef_lte_45_flag,tabular_ecg,GradientBoostingClassifier,test,0.7945,0.7787,0.8104,0.4702,0.4387,0.5057,0.6062,0.1768,962,5442
lvef_lte_45_flag,waveform_features,GradientBoostingClassifier,test,0.8496,0.8378,0.8624,0.5861,0.5569,0.6198,0.6784,0.1768,962,5442
lvef_lte_45_flag,combined,GradientBoostingClassifier,test,0.863,0.8508,0.8761,0.6176,0.5872,0.6498,0.6944,0.1768,962,5442
lvef_lte_45_flag,cnn_raw_waveform,ECGConvNet,test,0.8799,0.8679,0.8918,0.6719,0.6425,0.7036,0.7979,0.1768,962,5442
lvef_lte_45_flag,cnn_ecg_and_demographics,ECGConvNet,test,0.8878,0.8763,0.8986,0.6787,0.6494,0.7092,0.8042,0.1768,962,5442
lvef_lte_45_flag,cnn_cosine_schedule,ECGConvNet,test,0.8923,0.8808,0.9036,0.6991,0.6703,0.7282,0.8125,0.1768,962,5442
lvef_lte_45_flag,cnn_raw_waveform_v2,ECGConvNet,test,0.8752,0.8629,0.8869,0.6398,0.6084,0.6713,0.7995,0.1768,962,5442
lvwt_gte_13_flag,demographics,LogisticRegression,test,0.6474,0.6295,0.6642,0.2775,0.2579,0.3003,0.605,0.195,1061,5442
lvwt_gte_13_flag,tabular_ecg,GradientBoostingClassifier,test,0.6934,0.6768,0.7096,0.3273,0.3033,0.3546,0.5142,0.195,1061,5442
lvwt_gte_13_flag,waveform_features,GradientBoostingClassifier,test,0.7385,0.7227,0.7547,0.4051,0.3752,0.4378,0.5591,0.195,1061,5442
lvwt_gte_13_flag,combined,GradientBoostingClassifier,test,0.7542,0.7379,0.7699,0.4169,0.3852,0.4484,0.566,0.195,1061,5442
lvwt_gte_13_flag,cnn_raw_waveform,ECGConvNet,test,0.7458,0.7302,0.7604,0.3968,0.3671,0.4271,0.6805,0.195,1061,5442
lvwt_gte_13_flag,cnn_ecg_and_demographics,ECGConvNet,test,0.7564,0.7417,0.7709,0.4196,0.3918,0.4503,0.6863,0.195,1061,5442
lvwt_gte_13_flag,cnn_cosine_schedule,ECGConvNet,test,0.7638,0.7482,0.7783,0.4457,0.4161,0.4789,0.6927,0.195,1061,5442
lvwt_gte_13_flag,cnn_raw_waveform_v2,ECGConvNet,test,0.7505,0.7346,0.7658,0.4074,0.3771,0.4393,0.6869,0.195,1061,5442
aortic_stenosis_moderate_or_greater_flag,demographics,LogisticRegression,test,0.8443,0.8218,0.864,0.2651,0.2183,0.3182,0.7545,0.0526,286,5442
aortic_stenosis_moderate_or_greater_flag,tabular_ecg,GradientBoostingClassifier,test,0.843,0.8215,0.8615,0.2137,0.1787,0.2554,0.5027,0.0526,286,5442
aortic_stenosis_moderate_or_greater_flag,waveform_features,GradientBoostingClassifier,test,0.7572,0.7311,0.7819,0.1303,0.1104,0.1546,0.499,0.0526,286,5442
aortic_stenosis_moderate_or_greater_flag,combined,LogisticRegression,test,0.8702,0.851,0.8866,0.2797,0.2369,0.3322,0.7886,0.0526,286,5442
aortic_stenosis_moderate_or_greater_flag,cnn_raw_waveform,ECGConvNet,test,0.8288,0.8035,0.8499,0.2435,0.201,0.2946,0.7612,0.0526,286,5442
aortic_stenosis_moderate_or_greater_flag,cnn_ecg_and_demographics,ECGConvNet,test,0.8791,0.8618,0.8948,0.3913,0.3307,0.4534,0.7783,0.0526,286,5442
aortic_stenosis_moderate_or_greater_flag,cnn_cosine_schedule,ECGConvNet,test,0.8834,0.8646,0.9005,0.3975,0.3362,0.46,0.7916,0.0526,286,5442
aortic_stenosis_moderate_or_greater_flag,cnn_raw_waveform_v2,ECGConvNet,test,0.8302,0.8072,0.8518,0.2202,0.1858,0.2623,0.76,0.0526,286,5442
aortic_regurgitation_moderate_or_greater_flag,demographics,GradientBoostingClassifier,test,0.595,0.5378,0.6535,0.0182,0.0124,0.0312,0.5,0.0121,66,5442
aortic_regurgitation_moderate_or_greater_flag,tabular_ecg,LogisticRegression,test,0.6834,0.6217,0.7448,0.0246,0.0166,0.0469,0.6551,0.0121,66,5442
aortic_regurgitation_moderate_or_greater_flag,waveform_features,RandomForestClassifier,test,0.6908,0.6271,0.7585,0.0353,0.0226,0.0643,0.5,0.0121,66,5442
aortic_regurgitation_moderate_or_greater_flag,combined,RandomForestClassifier,test,0.7076,0.6505,0.7662,0.033,0.0215,0.0578,0.5,0.0121,66,5442
aortic_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,ECGConvNet,test,0.7466,0.6977,0.7971,0.0316,0.0222,0.0493,0.6515,0.0121,66,5442
aortic_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,ECGConvNet,test,0.7952,0.7487,0.8424,0.0532,0.0328,0.0978,0.7085,0.0121,66,5442
aortic_regurgitation_moderate_or_greater_flag,cnn_cosine_schedule,ECGConvNet,test,0.764,0.7103,0.8168,0.049,0.0307,0.0918,0.607,0.0121,66,5442
aortic_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,ECGConvNet,test,0.7726,0.7211,0.8255,0.0382,0.0266,0.059,0.6985,0.0121,66,5442
mitral_regurgitation_moderate_or_greater_flag,demographics,LogisticRegression,test,0.6558,0.6265,0.6845,0.1045,0.0898,0.1261,0.6133,0.0619,337,5442
mitral_regurgitation_moderate_or_greater_flag,tabular_ecg,GradientBoostingClassifier,test,0.7707,0.7454,0.7965,0.1629,0.1418,0.1937,0.5036,0.0619,337,5442
