fold,target,split,auroc,auprc,n_positive,n_total
0,shd_moderate_or_greater_flag,heldout_fold,0.8402,0.8556,7990,15421
0,lvef_lte_45_flag,heldout_fold,0.8814,0.733,3558,15421
0,lvwt_gte_13_flag,heldout_fold,0.756,0.4775,3663,15421
0,aortic_stenosis_moderate_or_greater_flag,heldout_fold,0.9065,0.3506,636,15421
0,aortic_regurgitation_moderate_or_greater_flag,heldout_fold,0.8514,0.1113,180,15421
0,mitral_regurgitation_moderate_or_greater_flag,heldout_fold,0.8384,0.3307,1280,15421
0,tricuspid_regurgitation_moderate_or_greater_flag,heldout_fold,0.8402,0.4416,1615,15421
0,pulmonary_regurgitation_moderate_or_greater_flag,heldout_fold,0.8465,0.2341,139,15421
0,rv_systolic_dysfunction_moderate_or_greater_flag,heldout_fold,0.8664,0.5541,2018,15421
0,pericardial_effusion_moderate_large_flag,heldout_fold,0.8171,0.2193,439,15421
0,pasp_gte_45_flag,heldout_fold,0.7963,0.4818,2880,15421
0,tr_max_gte_32_flag,heldout_fold,0.8201,0.3634,1574,15421
0,shd_moderate_or_greater_flag,test,0.8382,0.8081,2318,5442
0,lvef_lte_45_flag,test,0.891,0.6992,962,5442
0,lvwt_gte_13_flag,test,0.7611,0.4405,1061,5442
0,aortic_stenosis_moderate_or_greater_flag,test,0.8723,0.36,286,5442
0,aortic_regurgitation_moderate_or_greater_flag,test,0.764,0.0498,66,5442
0,mitral_regurgitation_moderate_or_greater_flag,test,0.8285,0.2813,337,5442
0,tricuspid_regurgitation_moderate_or_greater_flag,test,0.8458,0.3101,353,5442
0,pulmonary_regurgitation_moderate_or_greater_flag,test,0.7992,0.0274,20,5442
0,rv_systolic_dysfunction_moderate_or_greater_flag,test,0.8904,0.4704,419,5442
0,pericardial_effusion_moderate_large_flag,test,0.794,0.0668,69,5442
0,pasp_gte_45_flag,test,0.795,0.3916,699,5442
0,tr_max_gte_32_flag,test,0.7889,0.2491,375,5442
1,shd_moderate_or_greater_flag,heldout_fold,0.8354,0.8487,7989,15420
1,lvef_lte_45_flag,heldout_fold,0.8693,0.7087,3529,15420
1,lvwt_gte_13_flag,heldout_fold,0.7617,0.498,3722,15420
1,aortic_stenosis_moderate_or_greater_flag,heldout_fold,0.9041,0.4042,672,15420
1,aortic_regurgitation_moderate_or_greater_flag,heldout_fold,0.8134,0.1304,200,15420
1,mitral_regurgitation_moderate_or_greater_flag,heldout_fold,0.8288,0.3006,1265,15420
1,tricuspid_regurgitation_moderate_or_greater_flag,heldout_fold,0.8381,0.4115,1597,15420
1,pulmonary_regurgitation_moderate_or_greater_flag,heldout_fold,0.8984,0.2194,109,15420
1,rv_systolic_dysfunction_moderate_or_greater_flag,heldout_fold,0.8616,0.5475,2037,15420
1,pericardial_effusion_moderate_large_flag,heldout_fold,0.8068,0.2164,431,15420
1,pasp_gte_45_flag,heldout_fold,0.7896,0.4664,2892,15420
1,tr_max_gte_32_flag,heldout_fold,0.8038,0.3248,1564,15420
