ablation,target,auroc,delta_auroc
baseline,shd_moderate_or_greater_flag,0.8191,0.0
baseline,lvef_lte_45_flag,0.8832,0.0
baseline,lvwt_gte_13_flag,0.7282,0.0
baseline,aortic_stenosis_moderate_or_greater_flag,0.8211,0.0
baseline,aortic_regurgitation_moderate_or_greater_flag,0.7804,0.0
baseline,mitral_regurgitation_moderate_or_greater_flag,0.8139,0.0
baseline,tricuspid_regurgitation_moderate_or_greater_flag,0.8405,0.0
baseline,pulmonary_regurgitation_moderate_or_greater_flag,0.7419,0.0
baseline,rv_systolic_dysfunction_moderate_or_greater_flag,0.8851,0.0
baseline,pericardial_effusion_moderate_large_flag,0.7656,0.0
baseline,pasp_gte_45_flag,0.7741,0.0
baseline,tr_max_gte_32_flag,0.7899,0.0
drop_I,shd_moderate_or_greater_flag,0.8064,-0.0127
drop_I,lvef_lte_45_flag,0.8765,-0.0067
drop_I,lvwt_gte_13_flag,0.7253,-0.0029
drop_I,aortic_stenosis_moderate_or_greater_flag,0.8007,-0.0204
drop_I,aortic_regurgitation_moderate_or_greater_flag,0.7439,-0.0365
drop_I,mitral_regurgitation_moderate_or_greater_flag,0.8096,-0.0043
drop_I,tricuspid_regurgitation_moderate_or_greater_flag,0.8313,-0.0092
drop_I,pulmonary_regurgitation_moderate_or_greater_flag,0.7403,-0.0016
drop_I,rv_systolic_dysfunction_moderate_or_greater_flag,0.8763,-0.0088
drop_I,pericardial_effusion_moderate_large_flag,0.7368,-0.0288
drop_I,pasp_gte_45_flag,0.7602,-0.0139
drop_I,tr_max_gte_32_flag,0.7789,-0.011
drop_II,shd_moderate_or_greater_flag,0.8134,-0.0057
drop_II,lvef_lte_45_flag,0.8819,-0.0013
drop_II,lvwt_gte_13_flag,0.7217,-0.0065
drop_II,aortic_stenosis_moderate_or_greater_flag,0.8184,-0.0027
drop_II,aortic_regurgitation_moderate_or_greater_flag,0.7643,-0.0161
drop_II,mitral_regurgitation_moderate_or_greater_flag,0.8153,0.0014
drop_II,tricuspid_regurgitation_moderate_or_greater_flag,0.8359,-0.0046
drop_II,pulmonary_regurgitation_moderate_or_greater_flag,0.7482,0.0063
drop_II,rv_systolic_dysfunction_moderate_or_greater_flag,0.8813,-0.0038
drop_II,pericardial_effusion_moderate_large_flag,0.7679,0.0023
drop_II,pasp_gte_45_flag,0.7724,-0.0017
drop_II,tr_max_gte_32_flag,0.789,-0.0009
drop_III,shd_moderate_or_greater_flag,0.8186,-0.0005
drop_III,lvef_lte_45_flag,0.8825,-0.0007
drop_III,lvwt_gte_13_flag,0.7264,-0.0018
drop_III,aortic_stenosis_moderate_or_greater_flag,0.8197,-0.0014
drop_III,aortic_regurgitation_moderate_or_greater_flag,0.7787,-0.0017
drop_III,mitral_regurgitation_moderate_or_greater_flag,0.8124,-0.0015
drop_III,tricuspid_regurgitation_moderate_or_greater_flag,0.8394,-0.0011
drop_III,pulmonary_regurgitation_moderate_or_greater_flag,0.7382,-0.0037
drop_III,rv_systolic_dysfunction_moderate_or_greater_flag,0.8838,-0.0013
drop_III,pericardial_effusion_moderate_large_flag,0.7648,-0.0008
drop_III,pasp_gte_45_flag,0.774,-0.0001
drop_III,tr_max_gte_32_flag,0.7902,0.0003
drop_aVR,shd_moderate_or_greater_flag,0.8075,-0.0116
drop_aVR,lvef_lte_45_flag,0.8786,-0.0046
drop_aVR,lvwt_gte_13_flag,0.7186,-0.0096
drop_aVR,aortic_stenosis_moderate_or_greater_flag,0.8122,-0.0089
drop_aVR,aortic_regurgitation_moderate_or_greater_flag,0.7555,-0.0249
drop_aVR,mitral_regurgitation_moderate_or_greater_flag,0.8126,-0.0013
drop_aVR,tricuspid_regurgitation_moderate_or_greater_flag,0.8335,-0.007
drop_aVR,pulmonary_regurgitation_moderate_or_greater_flag,0.7553,0.0134
