target,lead,saliency_share
shd_moderate_or_greater_flag,I,0.11741340905427933
shd_moderate_or_greater_flag,II,0.06562697142362595
shd_moderate_or_greater_flag,III,0.043935008347034454
shd_moderate_or_greater_flag,aVR,0.08377052843570709
shd_moderate_or_greater_flag,aVL,0.06819560378789902
shd_moderate_or_greater_flag,aVF,0.03901905193924904
shd_moderate_or_greater_flag,V1,0.17639459669589996
shd_moderate_or_greater_flag,V2,0.11386509239673615
shd_moderate_or_greater_flag,V3,0.08231577277183533
shd_moderate_or_greater_flag,V4,0.0651073083281517
shd_moderate_or_greater_flag,V5,0.07006285339593887
shd_moderate_or_greater_flag,V6,0.0742938220500946
lvef_lte_45_flag,I,0.12164009362459183
lvef_lte_45_flag,II,0.0667141005396843
lvef_lte_45_flag,III,0.04450906068086624
lvef_lte_45_flag,aVR,0.08259288221597672
lvef_lte_45_flag,aVL,0.06799479573965073
lvef_lte_45_flag,aVF,0.03938273712992668
lvef_lte_45_flag,V1,0.16974514722824097
lvef_lte_45_flag,V2,0.11136830598115921
lvef_lte_45_flag,V3,0.08064883202314377
lvef_lte_45_flag,V4,0.06604267656803131
lvef_lte_45_flag,V5,0.07059997320175171
lvef_lte_45_flag,V6,0.07876139879226685
rv_systolic_dysfunction_moderate_or_greater_flag,I,0.1116856262087822
rv_systolic_dysfunction_moderate_or_greater_flag,II,0.06508968025445938
rv_systolic_dysfunction_moderate_or_greater_flag,III,0.0457177497446537
rv_systolic_dysfunction_moderate_or_greater_flag,aVR,0.08229342848062515
rv_systolic_dysfunction_moderate_or_greater_flag,aVL,0.06966652721166611
rv_systolic_dysfunction_moderate_or_greater_flag,aVF,0.03956323117017746
rv_systolic_dysfunction_moderate_or_greater_flag,V1,0.18591630458831787
rv_systolic_dysfunction_moderate_or_greater_flag,V2,0.11181440949440002
rv_systolic_dysfunction_moderate_or_greater_flag,V3,0.08398734778165817
rv_systolic_dysfunction_moderate_or_greater_flag,V4,0.06346974521875381
rv_systolic_dysfunction_moderate_or_greater_flag,V5,0.06689850240945816
rv_systolic_dysfunction_moderate_or_greater_flag,V6,0.07389742136001587
aortic_stenosis_moderate_or_greater_flag,I,0.1320880502462387
aortic_stenosis_moderate_or_greater_flag,II,0.06632433831691742
aortic_stenosis_moderate_or_greater_flag,III,0.039724770933389664
aortic_stenosis_moderate_or_greater_flag,aVR,0.08666079491376877
aortic_stenosis_moderate_or_greater_flag,aVL,0.06406674534082413
aortic_stenosis_moderate_or_greater_flag,aVF,0.03933710604906082
aortic_stenosis_moderate_or_greater_flag,V1,0.15801745653152466
aortic_stenosis_moderate_or_greater_flag,V2,0.11659500002861023
aortic_stenosis_moderate_or_greater_flag,V3,0.08008182793855667
aortic_stenosis_moderate_or_greater_flag,V4,0.06736700981855392
aortic_stenosis_moderate_or_greater_flag,V5,0.07231105118989944
aortic_stenosis_moderate_or_greater_flag,V6,0.07742587476968765
