trial_number,state,learning_rate,weight_decay,dropout,batch_size,final_val_mean_auroc,best_reported_auroc,n_epochs_run,duration_s,timestamp
1,PRUNED,8.468008575248323e-05,0.006351221010640704,0.4659969709057026,16,,0.7951666666666668,1,159.0,2026-09-24 06:47:34
2,PRUNED,1.3927723945289003e-05,0.0029154431891537554,0.40055750587160444,64,,0.7484250000000001,1,92.8,2026-09-24 06:49:07
3,PRUNED,0.0011536162338241388,7.068974950624607e-06,0.19091248360355031,64,,0.7879666666666666,1,64.7,2026-09-24 06:50:12
4,PRUNED,0.00011748439548007026,1.461896279370496e-05,0.40592644736118977,64,,0.7896249999999999,1,70.9,2026-09-24 06:51:23
5,PRUNED,0.0001348157560360141,0.0013826232179369874,0.19983689107917987,32,,0.818075,4,292.4,2026-09-24 06:56:15
6,PRUNED,0.000319861718220356,4.809461967501575e-06,0.13252579649263976,32,,0.8115083333333334,2,134.5,2026-09-24 06:58:30
7,PRUNED,5.682837558512268e-05,2.4586032763280077e-06,0.4421165132560785,64,,0.7715166666666667,1,61.3,2026-09-24 06:59:31
8,PRUNED,1.216702881459345e-05,0.004337920697490943,0.22938999080000846,16,,0.7651666666666666,1,80.7,2026-09-24 07:00:52
9,PRUNED,0.0002260828676373493,5.4880470007660465e-06,0.5847923138822793,32,,0.7889916666666666,1,64.5,2026-09-24 07:01:57
10,PRUNED,0.00030274065464556537,0.0048696409415209,0.14424625102595975,64,,0.8092416666666667,2,132.7,2026-09-24 07:04:10
11,PRUNED,0.00015404487483583698,0.0002250768090447673,0.1886980688709182,32,,0.8080666666666668,2,131.5,2026-09-24 07:06:21
12,PRUNED,0.0007675568330949098,8.537029082197223e-05,0.14154014319386665,32,,0.7932166666666666,1,66.0,2026-09-24 07:07:27
13,PRUNED,2.8767785453083915e-05,8.0122715346727e-05,0.11511965047179154,32,,0.7728083333333333,1,73.2,2026-09-24 07:08:41
14,PRUNED,0.002052170340402207,1.2266418557232513e-06,0.12846945130677134,32,,0.7752083333333334,1,69.4,2026-09-24 07:09:50
15,COMPLETE,0.00035640985451740033,0.00019516487171746818,0.31306703693160354,32,0.822333,0.8237,5,350.3,2026-09-24 07:15:41
16,PRUNED,0.0004378296989242202,0.0016137610321187168,0.38399446508847845,32,,0.8044166666666667,2,131.6,2026-09-24 07:17:53
17,PRUNED,0.0026020654438037977,0.00017602397285054503,0.3432652375396899,32,,0.76865,1,64.9,2026-09-24 07:18:58
18,PRUNED,0.000520304412710586,0.00043829685805988803,0.19396672176365082,16,,0.8064166666666664,2,161.0,2026-09-24 07:21:39
19,PRUNED,6.567543946007556e-05,0.00010317520024473311,0.31515080543209306,32,,0.7849916666666666,1,66.1,2026-09-24 07:22:45
20,PRUNED,0.0005126540084717116,3.487271380968378e-05,0.2825376568598845,32,,0.805575,2,136.6,2026-09-24 07:25:02
21,PRUNED,0.0001305906978548896,0.0014867342319147185,0.3237205169459695,32,,0.7903666666666668,1,65.9,2026-09-24 07:26:08
22,PRUNED,0.000105014815558594,0.0028862392223152704,0.18368842219819828,32,,0.8071250000000001,2,129.5,2026-09-24 07:28:18
23,PRUNED,8.210788564760532e-05,0.000205917768373455,0.4367013309396735,32,,0.7847833333333334,1,64.7,2026-09-24 07:29:23
24,COMPLETE,0.00020733038855121945,1.1776987477028729e-05,0.17243931711835447,32,0.818358,0.8222666666666667,5,320.0,2026-09-24 07:34:43
25,PRUNED,0.0011825885794909952,0.003591988713289279,0.2012774381947946,32,,0.7809083333333334,1,70.8,2026-09-24 07:35:54
26,PRUNED,5.423260055078092e-05,0.001386085013499539,0.28636190520227683,32,,0.780525,1,74.6,2026-09-24 07:37:09
27,PRUNED,4.025484742505188e-05,0.005489818250744859,0.1086066642188434,32,,0.7833333333333333,1,66.9,2026-09-24 07:38:16
28,PRUNED,6.907449104311765e-05,3.4042259377958827e-06,0.24539761690382236,32,,0.7898749999999999,1,70.8,2026-09-24 07:39:27
29,PRUNED,4.696872900152433e-05,0.0012673368991745584,0.16366850534963776,32,,0.7846833333333333,1,64.8,2026-09-24 07:40:32
30,PRUNED,0.00021189278598161541,0.005215822818277747,0.2724218023643499,32,,0.8184999999999999,4,254.8,2026-09-24 07:44:47
31,COMPLETE,0.00018180495875656075,0.00036180590466478984,0.2888542288720767,32,0.820817,0.8208166666666666,5,326.1,2026-09-24 07:50:13
32,PRUNED,0.00036048732284695457,7.973543827213527e-05,0.4148323340914791,32,,0.8051749999999999,2,126.5,2026-09-24 07:52:20
33,COMPLETE,0.00025811424510647715,0.00021601445831458745,0.2935300123161053,32,0.8197,0.8212166666666666,5,328.5,2026-09-24 07:57:48
34,PRUNED,0.0001543071244059091,0.00016099024409931624,0.2987077511464615,32,,0.8192833333333334,4,260.1,2026-09-24 08:02:09
35,PRUNED,0.0006980711302649542,0.0005143895911868373,0.24314609943538698,32,,0.7896333333333335,1,64.4,2026-09-24 08:03:14
36,PRUNED,0.0001441430310877351,3.059498448136772e-05,0.2428852605056197,32,,0.8087583333333334,2,326.6,2026-09-24 08:08:40
