epoch,train_loss,val_mean_auroc,val_shd_auroc,lr,mem_available_gb,elapsed_s,timestamp
1,1.034198,0.795092,0.8131,0.0003333333333333333,14.211,140.4,2026-09-24 01:44:48
2,0.973212,0.805183,0.8174,0.0006666666666666666,14.252,237.9,2026-09-24 01:46:25
3,0.950283,0.807508,0.8223,0.001,14.309,308.5,2026-09-24 01:47:36
4,0.922658,0.80845,0.8229,0.001,14.428,385.4,2026-09-24 01:48:53
5,0.900877,0.81685,0.829,0.0009992212734338192,14.426,458.7,2026-09-24 01:50:06
6,0.886951,0.819483,0.8264,0.000996887543897155,14.61,535.2,2026-09-24 01:51:22
7,0.864275,0.821858,0.834,0.0009930061541665268,14.748,606.7,2026-09-24 01:52:34
8,0.846777,0.819517,0.8273,0.0009875893165300026,14.857,681.5,2026-09-24 01:53:49
9,0.833485,0.817883,0.831,0.0009806540743628243,14.982,748.7,2026-09-24 01:54:56
10,0.812611,0.817717,0.8308,0.000972222248502642,15.035,815.9,2026-09-24 01:56:03
11,0.789677,0.813925,0.8305,0.000962320368593087,15.112,882.6,2026-09-24 01:57:10
12,0.767322,0.824525,0.837,0.0009509795896116975,15.181,948.4,2026-09-24 01:58:16
13,0.742564,0.809275,0.8294,0.0009382355938448332,15.21,1014.6,2026-09-24 01:59:22
14,0.716201,0.808333,0.8323,0.0009241284786180007,15.226,1080.1,2026-09-24 02:00:27
15,0.690953,0.8076,0.8309,0.0009087026301348338,15.294,1144.6,2026-09-24 02:01:32
16,0.661867,0.80305,0.8303,0.0008920065838216748,15.352,1206.7,2026-09-24 02:02:34
17,0.635961,0.807083,0.8355,0.0008740928716171669,15.349,1268.6,2026-09-24 02:03:36
18,0.607215,0.803983,0.8308,0.000855017856687341,15.369,1332.0,2026-09-24 02:04:39
19,0.576843,0.794883,0.8298,0.000834841556086242,15.388,1394.9,2026-09-24 02:05:42
20,0.549451,0.792192,0.8233,0.0008136274519200731,15.377,1459.0,2026-09-24 02:06:46
21,0.525118,0.795692,0.8213,0.0007914422916090039,15.229,1527.4,2026-09-24 02:07:55
22,0.495577,0.793058,0.8237,0.0007683558778750916,15.248,1597.5,2026-09-24 02:09:05
23,0.471984,0.789025,0.8192,0.0007444408491170938,15.237,1726.3,2026-09-24 02:11:13
24,0.444193,0.78915,0.8174,0.0007197724508631912,15.267,1824.3,2026-09-24 02:12:51
