trial_number,state,role,lr_multiplier,weight_decay,dropout,end_lr_fraction,final_val_mean_auroc,final_shd_auroc,best_reported_auroc,n_epochs_run,duration_s,timestamp
-1,COMPLETE,control,1.0,0.0001,0.3,0.8534966431896361,0.787208,0.8179,0.787208,5,460.7,2026-09-24 02:21:35
-1,COMPLETE,control,1.0,0.0001,0.3,0.8534966431896361,0.774908,0.8083,0.774908,5,479.3,2026-09-24 02:52:31
1,PRUNED,trial,0.14789365614666458,0.00027306507478234055,0.16669548209299415,0.004460095599345031,,,0.7953416666666667,2,149.1,2026-09-24 02:55:03
2,PRUNED,trial,0.30424542234514246,0.0027324357812978104,0.43304510654901285,0.028878895447528682,,,0.7920083333333334,1,117.9,2026-09-24 02:57:01
3,COMPLETE,trial,0.11037149793717412,0.0008609802417157013,0.29747500921550296,0.14611712392187035,0.79175,0.8191,0.7960083333333333,5,519.6,2026-09-24 03:05:41
4,PRUNED,trial,0.23758053318734113,1.688650397596816e-06,0.5333243204496001,0.003949577407746839,,,0.7974749999999999,4,267.0,2026-09-24 03:10:08
5,PRUNED,trial,0.3964774775413866,1.8381708896171774e-05,0.13833134999822363,0.18872879048982105,,,0.7946,1,64.6,2026-09-24 03:11:13
6,PRUNED,trial,1.7946760166027829,0.007688831894006761,0.2926884571975691,0.37682075827499734,,,0.805775,2,139.9,2026-09-24 03:13:34
7,PRUNED,trial,0.4554483670048693,0.00047741779969256927,0.1412500248485777,0.2637801788003139,,,0.7900416666666666,1,65.7,2026-09-24 03:14:40
8,PRUNED,trial,0.27554168180221233,1.1200032693099209e-05,0.10256477453222848,0.029247402038742442,,,0.7939083333333334,1,63.3,2026-09-24 03:15:43
9,PRUNED,trial,0.5040962913966263,0.00035115164745742097,0.5891020670410031,0.2834350321890979,,,0.7954333333333333,2,131.2,2026-09-24 03:17:55
10,PRUNED,trial,2.2100721570846042,0.00012618934451314432,0.15200947492738145,0.003078102417216263,,,0.79305,1,63.9,2026-09-24 03:18:59
11,PRUNED,trial,1.0480778553605308,0.003773300045317521,0.3107138545744306,0.017735344921657018,,,0.7942666666666667,1,65.8,2026-09-24 03:20:05
12,PRUNED,trial,0.20461533958269854,4.072157691857936e-06,0.5606556667035829,0.023024930955500643,,,0.796725,4,259.8,2026-09-24 03:24:25
13,PRUNED,trial,0.11556087488715625,6.4046800466418304e-06,0.38181446573387184,0.2711066754413951,,,0.7972583333333332,2,130.3,2026-09-24 03:26:36
14,PRUNED,trial,0.39772225815441825,2.3163330648747185e-06,0.4841320485045766,0.0017049314318932215,,,0.7928583333333333,1,64.3,2026-09-24 03:27:40
