target,tier,subgroup_type,subgroup_value,auroc,auroc_ci_low,auroc_ci_high,n,n_positive
shd_moderate_or_greater_flag,combined,sex,male,0.8135,0.7987,0.8281,2711,1317
shd_moderate_or_greater_flag,combined,sex,female,0.8093,0.7932,0.8263,2731,1001
shd_moderate_or_greater_flag,combined,age_band,65-80,0.781,0.7595,0.8016,1841,869
shd_moderate_or_greater_flag,combined,age_band,<50,0.8262,0.7962,0.8531,1126,291
shd_moderate_or_greater_flag,combined,age_band,50-65,0.8124,0.789,0.8336,1629,613
shd_moderate_or_greater_flag,combined,age_band,≥80,0.7428,0.7055,0.7748,846,545
shd_moderate_or_greater_flag,combined,race_ethnicity,white,0.8127,0.7911,0.8342,1569,656
shd_moderate_or_greater_flag,combined,race_ethnicity,unknown,0.8096,0.7786,0.8385,768,367
shd_moderate_or_greater_flag,combined,race_ethnicity,black,0.8071,0.7767,0.8348,846,405
shd_moderate_or_greater_flag,combined,race_ethnicity,other,0.8246,0.7851,0.862,457,200
shd_moderate_or_greater_flag,combined,race_ethnicity,asian,0.8041,0.7299,0.8736,153,70
shd_moderate_or_greater_flag,combined,race_ethnicity,hispanic,0.8218,0.8006,0.842,1649,620
shd_moderate_or_greater_flag,combined,location_setting,inpatient,0.7944,0.7755,0.813,2203,1156
shd_moderate_or_greater_flag,combined,location_setting,outpatient,0.7932,0.7607,0.8275,1059,271
shd_moderate_or_greater_flag,combined,location_setting,emergency,0.8144,0.7945,0.8315,1971,788
shd_moderate_or_greater_flag,combined,location_setting,procedural,0.8108,0.7502,0.8673,209,103
shd_moderate_or_greater_flag,cnn_raw_waveform,sex,male,0.829,0.8146,0.8439,2711,1317
shd_moderate_or_greater_flag,cnn_raw_waveform,sex,female,0.821,0.8053,0.838,2731,1001
shd_moderate_or_greater_flag,cnn_raw_waveform,age_band,65-80,0.8003,0.7801,0.8201,1841,869
shd_moderate_or_greater_flag,cnn_raw_waveform,age_band,<50,0.8395,0.8122,0.8659,1126,291
shd_moderate_or_greater_flag,cnn_raw_waveform,age_band,50-65,0.8401,0.8207,0.8594,1629,613
shd_moderate_or_greater_flag,cnn_raw_waveform,age_band,≥80,0.7703,0.7349,0.8009,846,545
shd_moderate_or_greater_flag,cnn_raw_waveform,race_ethnicity,white,0.8087,0.7848,0.8287,1569,656
shd_moderate_or_greater_flag,cnn_raw_waveform,race_ethnicity,unknown,0.8461,0.8181,0.8723,768,367
shd_moderate_or_greater_flag,cnn_raw_waveform,race_ethnicity,black,0.8355,0.8083,0.8611,846,405
shd_moderate_or_greater_flag,cnn_raw_waveform,race_ethnicity,other,0.8122,0.7713,0.8512,457,200
shd_moderate_or_greater_flag,cnn_raw_waveform,race_ethnicity,asian,0.8021,0.7291,0.877,153,70
shd_moderate_or_greater_flag,cnn_raw_waveform,race_ethnicity,hispanic,0.8373,0.8175,0.8564,1649,620
shd_moderate_or_greater_flag,cnn_raw_waveform,location_setting,inpatient,0.8077,0.7907,0.8262,2203,1156
shd_moderate_or_greater_flag,cnn_raw_waveform,location_setting,outpatient,0.801,0.7701,0.8345,1059,271
shd_moderate_or_greater_flag,cnn_raw_waveform,location_setting,emergency,0.8293,0.8105,0.8468,1971,788
shd_moderate_or_greater_flag,cnn_raw_waveform,location_setting,procedural,0.8154,0.7524,0.8728,209,103
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,sex,male,0.8309,0.816,0.8452,2711,1317
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,sex,female,0.8331,0.8178,0.8492,2731,1001
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,age_band,65-80,0.8056,0.7854,0.8255,1841,869
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,age_band,<50,0.8288,0.7986,0.8557,1126,291
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,age_band,50-65,0.8451,0.8263,0.8635,1629,613
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,age_band,≥80,0.7642,0.729,0.7965,846,545
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,race_ethnicity,white,0.8282,0.8078,0.8467,1569,656
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,race_ethnicity,unknown,0.8352,0.8083,0.8603,768,367
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,race_ethnicity,black,0.8272,0.7972,0.8529,846,405
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,race_ethnicity,other,0.8383,0.8031,0.8735,457,200
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,race_ethnicity,asian,0.8191,0.7467,0.8879,153,70
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,race_ethnicity,hispanic,0.8422,0.8238,0.8614,1649,620
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,location_setting,inpatient,0.8112,0.7944,0.8291,2203,1156
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,location_setting,outpatient,0.8175,0.7874,0.8484,1059,271
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,location_setting,emergency,0.8378,0.8201,0.8562,1971,788
shd_moderate_or_greater_flag,cnn_ecg_and_demographics,location_setting,procedural,0.8339,0.7759,0.886,209,103
lvef_lte_45_flag,combined,sex,male,0.8493,0.8307,0.8654,2711,624
lvef_lte_45_flag,combined,sex,female,0.867,0.8478,0.8843,2731,338
lvef_lte_45_flag,combined,age_band,65-80,0.8691,0.849,0.8879,1841,381
lvef_lte_45_flag,combined,age_band,<50,0.8543,0.8172,0.8877,1126,121
lvef_lte_45_flag,combined,age_band,50-65,0.857,0.8298,0.8838,1629,256
lvef_lte_45_flag,combined,age_band,≥80,0.8401,0.8063,0.8713,846,204
lvef_lte_45_flag,combined,race_ethnicity,white,0.8646,0.839,0.8884,1569,255
lvef_lte_45_flag,combined,race_ethnicity,unknown,0.8292,0.7969,0.8607,768,171
lvef_lte_45_flag,combined,race_ethnicity,black,0.8586,0.8244,0.8888,846,163
lvef_lte_45_flag,combined,race_ethnicity,other,0.8574,0.8038,0.9041,457,72
lvef_lte_45_flag,combined,race_ethnicity,asian,0.8881,0.8037,0.9502,153,25
lvef_lte_45_flag,combined,race_ethnicity,hispanic,0.88,0.8608,0.9007,1649,276
lvef_lte_45_flag,combined,location_setting,inpatient,0.831,0.8084,0.8489,2203,537
lvef_lte_45_flag,combined,location_setting,outpatient,0.8848,0.8416,0.9228,1059,70
lvef_lte_45_flag,combined,location_setting,emergency,0.8625,0.8415,0.8848,1971,310
lvef_lte_45_flag,combined,location_setting,procedural,0.8783,0.8143,0.9319,209,45
lvef_lte_45_flag,cnn_raw_waveform,sex,male,0.8649,0.8479,0.8797,2711,624
lvef_lte_45_flag,cnn_raw_waveform,sex,female,0.8911,0.8719,0.9086,2731,338
lvef_lte_45_flag,cnn_raw_waveform,age_band,65-80,0.8805,0.8595,0.9003,1841,381
lvef_lte_45_flag,cnn_raw_waveform,age_band,<50,0.8649,0.824,0.9011,1126,121
lvef_lte_45_flag,cnn_raw_waveform,age_band,50-65,0.8768,0.8535,0.8995,1629,256
lvef_lte_45_flag,cnn_raw_waveform,age_band,≥80,0.8739,0.8449,0.8993,846,204
lvef_lte_45_flag,cnn_raw_waveform,race_ethnicity,white,0.8768,0.8527,0.8992,1569,255
lvef_lte_45_flag,cnn_raw_waveform,race_ethnicity,unknown,0.866,0.8348,0.8966,768,171
lvef_lte_45_flag,cnn_raw_waveform,race_ethnicity,black,0.8756,0.8456,0.9041,846,163
lvef_lte_45_flag,cnn_raw_waveform,race_ethnicity,other,0.8603,0.8027,0.9053,457,72
lvef_lte_45_flag,cnn_raw_waveform,race_ethnicity,asian,0.9153,0.8449,0.9694,153,25
lvef_lte_45_flag,cnn_raw_waveform,race_ethnicity,hispanic,0.8937,0.8734,0.9141,1649,276
lvef_lte_45_flag,cnn_raw_waveform,location_setting,inpatient,0.8549,0.8356,0.8722,2203,537
lvef_lte_45_flag,cnn_raw_waveform,location_setting,outpatient,0.8915,0.8505,0.9278,1059,70
lvef_lte_45_flag,cnn_raw_waveform,location_setting,emergency,0.8814,0.8602,0.9009,1971,310
lvef_lte_45_flag,cnn_raw_waveform,location_setting,procedural,0.8763,0.8141,0.9303,209,45
lvef_lte_45_flag,cnn_ecg_and_demographics,sex,male,0.8702,0.8538,0.8851,2711,624
lvef_lte_45_flag,cnn_ecg_and_demographics,sex,female,0.899,0.8819,0.9148,2731,338
lvef_lte_45_flag,cnn_ecg_and_demographics,age_band,65-80,0.8901,0.8705,0.9075,1841,381
lvef_lte_45_flag,cnn_ecg_and_demographics,age_band,<50,0.8688,0.8331,0.902,1126,121
lvef_lte_45_flag,cnn_ecg_and_demographics,age_band,50-65,0.8865,0.8648,0.9066,1629,256
lvef_lte_45_flag,cnn_ecg_and_demographics,age_band,≥80,0.8787,0.8494,0.9044,846,204
lvef_lte_45_flag,cnn_ecg_and_demographics,race_ethnicity,white,0.8941,0.8718,0.9135,1569,255
lvef_lte_45_flag,cnn_ecg_and_demographics,race_ethnicity,unknown,0.87,0.8384,0.8992,768,171
lvef_lte_45_flag,cnn_ecg_and_demographics,race_ethnicity,black,0.8725,0.8406,0.8991,846,163
lvef_lte_45_flag,cnn_ecg_and_demographics,race_ethnicity,other,0.8643,0.809,0.9099,457,72
lvef_lte_45_flag,cnn_ecg_and_demographics,race_ethnicity,asian,0.9259,0.8737,0.9677,153,25
lvef_lte_45_flag,cnn_ecg_and_demographics,race_ethnicity,hispanic,0.8993,0.8812,0.9179,1649,276
lvef_lte_45_flag,cnn_ecg_and_demographics,location_setting,inpatient,0.8562,0.8369,0.8741,2203,537
lvef_lte_45_flag,cnn_ecg_and_demographics,location_setting,outpatient,0.9094,0.8694,0.9452,1059,70
lvef_lte_45_flag,cnn_ecg_and_demographics,location_setting,emergency,0.8908,0.8725,0.9087,1971,310
lvef_lte_45_flag,cnn_ecg_and_demographics,location_setting,procedural,0.8934,0.8431,0.94,209,45
