target,model,trial,params_json,val_auroc
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,0,"{""learning_rate"": 0.03574712922600244, ""max_iter"": 478, ""max_leaf_nodes"": 95, ""min_samples_leaf"": 122, ""l2_regularization"": 2.5361081166471375e-07, ""max_bins"": 66}",0.8119724189993975
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,1,"{""learning_rate"": 0.012184186502221764, ""max_iter"": 440, ""max_leaf_nodes"": 79, ""min_samples_leaf"": 143, ""l2_regularization"": 1.5320059381854043e-08, ""max_bins"": 249}",0.8113311245148351
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,2,"{""learning_rate"": 0.16967533607196555, ""max_iter"": 145, ""max_leaf_nodes"": 29, ""min_samples_leaf"": 40, ""l2_regularization"": 5.472429642032198e-06, ""max_bins"": 149}",0.8035490426335012
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,3,"{""learning_rate"": 0.04345454109729477, ""max_iter"": 181, ""max_leaf_nodes"": 81, ""min_samples_leaf"": 32, ""l2_regularization"": 4.258943089524393e-06, ""max_bins"": 114}",0.8121051006168932
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,4,"{""learning_rate"": 0.04717052037625178, ""max_iter"": 404, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 105, ""l2_regularization"": 0.0021465011216654484, ""max_bins"": 42}",0.8092118406905544
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,5,"{""learning_rate"": 0.07896186801026692, ""max_iter"": 126, ""max_leaf_nodes"": 14, ""min_samples_leaf"": 190, ""l2_regularization"": 4.905556676028774, ""max_bins"": 213}",0.7909589678285204
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,6,"{""learning_rate"": 0.028180680291847244, ""max_iter"": 94, ""max_leaf_nodes"": 89, ""min_samples_leaf"": 91, ""l2_regularization"": 1.254134495897175e-07, ""max_bins"": 142}",0.7925875584294766
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,7,"{""learning_rate"": 0.011240768803005551, ""max_iter"": 460, ""max_leaf_nodes"": 38, ""min_samples_leaf"": 134, ""l2_regularization"": 6.388511557344611e-06, ""max_bins"": 148}",0.7821614712408781
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,8,"{""learning_rate"": 0.06420330336297862, ""max_iter"": 133, ""max_leaf_nodes"": 124, ""min_samples_leaf"": 156, ""l2_regularization"": 2.854239907497756, ""max_bins"": 232}",0.8112632586300241
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,9,"{""learning_rate"": 0.0764136186923332, ""max_iter"": 465, ""max_leaf_nodes"": 17, ""min_samples_leaf"": 43, ""l2_regularization"": 2.5529693461039728e-08, ""max_bins"": 104}",0.7926330247596098
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,10,"{""learning_rate"": 0.058539496745848525, ""max_iter"": 264, ""max_leaf_nodes"": 104, ""min_samples_leaf"": 54, ""l2_regularization"": 5.37264185449355e-05, ""max_bins"": 33}",0.807587253414264
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,11,"{""learning_rate"": 0.04983091664414471, ""max_iter"": 380, ""max_leaf_nodes"": 92, ""min_samples_leaf"": 150, ""l2_regularization"": 1.1115430862189947e-08, ""max_bins"": 66}",0.8106255862011118
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,12,"{""learning_rate"": 0.03854438320463661, ""max_iter"": 425, ""max_leaf_nodes"": 91, ""min_samples_leaf"": 195, ""l2_regularization"": 7.435899497776295e-05, ""max_bins"": 79}",0.7966004148206891
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,13,"{""learning_rate"": 0.03370962431306003, ""max_iter"": 474, ""max_leaf_nodes"": 81, ""min_samples_leaf"": 65, ""l2_regularization"": 9.665519687177953e-06, ""max_bins"": 102}",0.7928795151783194
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,14,"{""learning_rate"": 0.01850082006822456, ""max_iter"": 405, ""max_leaf_nodes"": 95, ""min_samples_leaf"": 86, ""l2_regularization"": 2.626105439474524e-07, ""max_bins"": 48}",0.7891078114395955
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,15,"{""learning_rate"": 0.02780648391449117, ""max_iter"": 277, ""max_leaf_nodes"": 96, ""min_samples_leaf"": 149, ""l2_regularization"": 3.106649804337597e-08, ""max_bins"": 132}",0.7933873655073547
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,16,"{""learning_rate"": 0.0227328024646361, ""max_iter"": 111, ""max_leaf_nodes"": 75, ""min_samples_leaf"": 104, ""l2_regularization"": 1.7270812116459777e-08, ""max_bins"": 73}",0.7903126215294987
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,17,"{""learning_rate"": 0.08278617261063836, ""max_iter"": 357, ""max_leaf_nodes"": 94, ""min_samples_leaf"": 95, ""l2_regularization"": 2.6725442220753574e-07, ""max_bins"": 98}",0.8096167483853257
shd_moderate_or_greater_flag,HistGradientBoostingClassifier,18,"{""learning_rate"": 0.022750015615177196, ""max_iter"": 177, ""max_leaf_nodes"": 108, ""min_samples_leaf"": 28, ""l2_regularization"": 1.363809170109431e-06, ""max_bins"": 86}",0.7918187294591318
